day,all
20220913,1
20220913,1
20220913,135
20220913,1010
20220913,20
20220913,4
20220913,247
20220913,478
20220913,1
20220913,5763
20220913,57
20220913,650
20220913,94
20220913,16
20220913,391
20220913,61
20220913,1
20220913,54
20220913,39
20220913,18
20220913,60
20220913,31
20220913,979
20220913,112
20220913,3
20220913,101
20220913,580
20220913,126
20220913,131
20220913,515
20220913,355
20220913,45
20220913,70
20220913,869
20220913,89
20220913,17
20220913,758
20220913,245
20220913,4274
20220913,16113
20220913,4196
20220913,952
20220913,8
20220913,874
20220913,31803
20220913,6819
20220913,220
20220913,1167
20220913,2335
20220913,289
20220913,897
20220913,4142
20220913,24507
20220913,8046
20220913,230050
20220913,116719
20220913,41533
20220913,5868
20220913,225767
20220913,253044
20220913,1344989
20220913,2281374
20220912,36
20220912,118
20220912,1
20220912,1
20220912,144
20220912,35
20220912,3
20220912,2
20220912,6
20220912,6
20220912,3
20220912,1
20220912,6
20220912,10
20220912,15
20220912,6
20220912,1
20220912,29
20220912,11
20220912,5
20220912,6
20220912,1
20220912,28
20220912,7
20220912,1
20220912,20
20220912,8
20220912,9
20220912,12
20220912,2
20220912,2
20220912,9
20220912,92
20220912,2
20220912,3
20220912,46
20220912,9
20220912,8
20220912,18
20220912,141
20220912,6
20220912,65
20220912,5
20220912,2
20220912,14
20220912,67
20220912,1
20220912,215
20220912,8
20220912,38
20220912,1
20220912,10
20220912,53
20220912,7
20220912,1
20220912,5
20220912,5
20220912,9
20220912,2
20220912,81
20220912,38
20220912,2
20220912,8
20220912,5
20220912,28
20220912,3
20220912,1923
20220912,7
20220912,12
20220912,3
20220912,7
20220912,49
20220912,49
20220912,49
20220912,185
20220912,12
20220912,194
20220912,16
20220912,5
20220912,201
20220912,1
20220912,113
20220912,78
20220912,9
20220912,21
20220912,2
20220912,15
20220912,9
20220912,6
20220912,249
20220912,11
20220912,3
20220912,1
20220912,1
20220912,31
20220912,7
20220912,26
20220912,17
20220912,57
20220912,3
20220912,34
20220912,1
20220912,5
20220912,9
20220912,12
20220912,2
20220912,7
20220912,3
20220912,8
20220912,166
20220912,2
20220912,763
20220912,184
20220912,65
20220912,325
20220912,2
20220912,33
20220912,2
20220912,59
20220912,58
20220912,1
20220912,78
20220912,1197
20220912,19
20220912,187
20220912,62
20220912,1
20220912,1
20220912,135
20220912,1010
20220912,20
20220912,4
20220912,247
20220912,478
20220912,1
20220912,5763
20220912,57
20220912,650
20220912,94
20220912,16
20220912,391
20220912,61
20220912,1
20220912,54
20220912,39
20220912,18
20220912,60
20220912,31
20220912,979
20220912,112
20220912,3
20220912,101
20220912,580
20220912,126
20220912,131
20220912,515
20220912,355
20220912,45
20220912,70
20220912,869
20220912,89
20220912,17
20220912,758
